GC	overallBiases	overallSkews	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost	aaAvgCost_Aer_Het	aaAvgCost_An_Het	aaAvgCost_Aer_Phot	aaAvgCost_An_Phot
10.700003	60	0.2	0.2937329	0.2710475	-0.066594996	-0.12671274	0.20106962	0.20547074	29.310194	34.358883	9.189349	34.67642	9.623856
10.700003	65	0.3	0.40476763	0.36272636	0.067108236	0.008534563	0.2998513	0.3125	28.504833	33.250706	9.37718	33.496822	9.702213
10.700003	70	0.4	0.5101461	0.45824385	0.21545337	0.14141634	0.3958663	0.41753954	27.881836	32.3276	9.590999	32.508762	9.821765
10.700003	75	0.5	0.61190856	0.5494637	0.36407468	0.29067513	0.50806135	0.5145081	27.454401	31.634396	9.827851	31.761322	9.983683
10.700003	80	0.6	0.70803916	0.6380798	0.51150095	0.44851938	0.5926079	0.57616264	27.23028	31.157784	10.066831	31.240002	10.1632595
10.700003	85	0.7	0.79480547	0.7260148	0.65477633	0.60029733	0.6975433	0.719113	27.204777	30.932987	10.305038	30.979055	10.357027
10.700003	90	0.8	0.87271124	0.81706184	0.7860143	0.74517685	0.801448	0.79086196	27.4058	30.965342	10.5604105	30.986078	10.582737
10.800003	10	-0.8	-0.7993291	-0.79296076	-0.83441514	-0.83200276	-0.79981464	-0.8010869	42.088875	49.945126	8.431928	51.259872	10.915243
10.800003	15	-0.7	-0.6972941	-0.6836592	-0.7703147	-0.77316904	-0.7025178	-0.6932573	40.558083	48.176796	8.419486	49.36704	10.602688
10.800003	20	-0.6	-0.5947943	-0.5712325	-0.7117003	-0.71793175	-0.6015439	-0.59350955	39.06941	46.447876	8.418619	47.52063	10.329555
10.800003	25	-0.5	-0.48803088	-0.4621992	-0.6585206	-0.6594527	-0.500216	-0.5005334	37.651794	44.77264	8.443597	45.73573	10.1074095
10.800003	30	-0.4	-0.38056174	-0.34862056	-0.6006397	-0.61283916	-0.40452978	-0.4125874	36.277225	43.128136	8.490001	43.985695	9.926189
10.800003	35	-0.3	-0.27112296	-0.24317268	-0.5386657	-0.5533841	-0.29975936	-0.28917643	34.931263	41.509354	8.534815	42.26623	9.760818
10.800003	40	-0.2	-0.1605087	-0.13618931	-0.4691144	-0.4846707	-0.2014783	-0.20334323	33.613144	39.890186	8.615926	40.54807	9.649788
10.800003	45	-0.1	-0.04712407	-0.028517252	-0.38851795	-0.42276752	-0.09571288	-0.083940744	32.374153	38.348255	8.711701	38.912945	9.569995
10.800003	50	0.0	0.067241505	0.07148018	-0.2979431	-0.33619028	0.0027158645	0.01302682	31.231308	36.891415	8.844975	37.368023	9.544428
10.800003	55	0.1	0.1816827	0.17110156	-0.18999833	-0.23589937	0.0981134	0.11969548	30.19038	35.532974	8.985828	35.927788	9.545223
10.800003	60	0.2	0.29419878	0.26673496	-0.06658576	-0.12225819	0.19621955	0.20787475	29.259306	34.289875	9.170688	34.60554	9.602974
10.800003	65	0.3	0.40416554	0.3638074	0.06998838	7.193382E-4	0.29060465	0.32714212	28.502272	33.228264	9.377744	33.474087	9.702093
10.800003	70	0.4	0.5119726	0.45531818	0.21321699	0.1464256	0.3971906	0.40108892	27.83993	32.26415	9.584377	32.44471	9.814081
10.800003	75	0.5	0.6127279	0.5494928	0.36363617	0.28902456	0.50597924	0.5280899	27.42491	31.588972	9.805717	31.71583	9.960561
10.800003	80	0.6	0.70660645	0.63596016	0.51435214	0.45410636	0.60170114	0.5845384	27.218407	31.130457	10.058263	31.21205	10.15389
10.800003	85	0.7	0.79533213	0.72548246	0.6549964	0.6052562	0.7063604	0.66292137	27.174526	30.883986	10.293254	30.9295	10.344605
10.800003	90	0.8	0.8736014	0.81689775	0.78485876	0.74486804	0.79714775	0.8052468	27.377686	30.919619	10.541205	30.940521	10.563842
10.900003	10	-0.8	-0.79924303	-0.79200906	-0.8358026	-0.833455	-0.799273	-0.8029737	42.06627	49.918056	8.432162	51.230804	10.912446
10.900003	15	-0.7	-0.6966112	-0.6828151	-0.77234375	-0.7766504	-0.7026112	-0.6942181	40.517006	48.124565	8.4147215	49.31305	10.594734
10.900003	20	-0.6	-0.59359753	-0.57218176	-0.7141309	-0.7163995	-0.5983163	-0.60220814	39.04087	46.40695	8.409637	47.479233	10.318155
10.900003	25	-0.5	-0.4885828	-0.45797196	-0.6582079	-0.66534173	-0.4971618	-0.5101143	37.62744	44.742695	8.430827	45.705177	10.09259
10.900003	30	-0.4	-0.38057837	-0.3512038	-0.6006861	-0.61273146	-0.39992055	-0.39038816	36.20766	43.050457	8.465957	43.90507	9.896488
10.900003	35	-0.3	-0.27223715	-0.2412565	-0.53777033	-0.55511457	-0.29617116	-0.2897951	34.86397	41.427097	8.524889	42.180172	9.746291
10.900003	40	-0.2	-0.16054833	-0.13465326	-0.4709399	-0.49179655	-0.2014298	-0.18463364	33.603672	39.870422	8.611458	40.529076	9.64563
10.900003	45	-0.1	-0.0473926	-0.029862331	-0.38903645	-0.4176125	-0.09961436	-0.10285647	32.353226	38.312603	8.71202	38.876804	9.569712
10.900003	50	0.0	0.065989636	0.075772256	-0.29373354	-0.34206054	0.003335229	0.009785233	31.218767	36.872833	8.837892	37.34887	9.537272
10.900003	55	0.1	0.18087885	0.17314349	-0.18730494	-0.23552017	0.10162193	0.08581728	30.154829	35.48718	8.988965	35.87907	9.544636
10.900003	60	0.2	0.29452845	0.2699936	-0.06600923	-0.12195317	0.19855745	0.17567568	29.234495	34.25037	9.163687	34.56562	9.594713
10.900003	65	0.3	0.40322638	0.3641303	0.07109248	0.003449643	0.30612844	0.29286695	28.478188	33.196857	9.362605	33.441597	9.685283
10.900003	70	0.4	0.5115494	0.45711616	0.21358497	0.1421959	0.3991511	0.41203704	27.842138	32.261074	9.569936	32.44273	9.800666
10.900003	75	0.5	0.6129784	0.54606986	0.36453193	0.2946586	0.5031354	0.49634704	27.413458	31.556305	9.8016205	31.683271	9.9567585
10.900003	80	0.6	0.7075394	0.6367415	0.5129354	0.45042723	0.5994698	0.6058315	27.170654	31.069345	10.039623	31.150053	10.13464
10.900003	85	0.7	0.79461247	0.72664464	0.65484124	0.6014856	0.6989195	0.711926	27.172592	30.871479	10.295134	30.917154	10.346614
10.900003	90	0.8	0.8726005	0.81519896	0.78625995	0.7476126	0.80094224	0.8097709	27.365192	30.887989	10.53775	30.9087	10.560081
11.000004	10	-0.8	-0.7990217	-0.79181427	-0.8352478	-0.83465403	-0.7997092	-0.7940305	42.021595	49.8633	8.4183855	51.174145	10.894016
11.000004	15	-0.7	-0.6974436	-0.6829608	-0.7713417	-0.77264774	-0.6974291	-0.687275	40.46419	48.06434	8.399007	49.249767	10.573478
11.000004	20	-0.6	-0.59351164	-0.5721509	-0.7136733	-0.7189831	-0.60222983	-0.60894305	38.990257	46.343178	8.404063	47.412594	10.307934
11.000004	25	-0.5	-0.48809528	-0.46128914	-0.6570692	-0.6628302	-0.5014063	-0.5018946	37.559277	44.6585	8.427614	45.61645	10.081994
11.000004	30	-0.4	-0.3823575	-0.35282528	-0.5995872	-0.61071056	-0.39860755	-0.39770746	36.197918	43.03563	8.457277	43.88963	9.885778
11.000004	35	-0.3	-0.27082536	-0.24035834	-0.53818667	-0.55367213	-0.30590102	-0.30360273	34.83457	41.388306	8.516367	42.14036	9.735346
